source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,p_pm,pm_method,r_proj_arcmin,p_spatial,p_cmd,membership_prob,is_member,dist_pc,dist_pc_err
6440123625779103488,287.99400168907465,-60.859839954244286,0.1273219060977885,0.03784537,1.3364314865326932,0.03489813,-4.124479013328148,0.030628134,15.780406,16.196575,15.179073,1.0175018,1.0088767,0.0,gmm2,53.16797223173213,0.01,0.1969834617176295,0.0,False,,
6440124446117035904,287.9685051375329,-60.83848591557365,0.3286483619932025,0.07630208,4.640914986700462,0.069974996,-4.169786835002524,0.07210643,17.198072,17.54685,16.675354,0.8714962,1.0146163,0.0,gmm2,51.785840009187226,0.01,8.25655897835236e-05,0.0,False,,
6440124514836522368,288.0320149213837,-60.8291104080316,0.5597738709193844,0.3862803,-0.392784748509327,0.369486,-4.319291046920809,0.2695914,19.632061,20.082201,19.084702,0.99749947,0.9859375,0.0,gmm2,51.54463665995868,0.01,0.8672563824975866,0.0,False,,
6440124617915791744,288.0681337936738,-60.79185761760248,-0.2883251034845037,0.15302826,-5.083934581666142,0.14068726,-5.684414045664485,0.116754696,18.347553,18.651365,17.891216,0.760149,1.0144768,0.0,gmm2,49.56812511487485,0.01,0.6624322870665111,0.0,False,,
6440125030232670080,288.10413742342547,-60.78015450012735,0.319042583189713,0.078467764,-1.6183510337147626,0.06236736,-8.676257605458893,0.06288379,17.110992,17.507055,16.550446,0.9566097,0.99168086,0.0,gmm2,49.126457052302285,0.01,1.1216801293003276e-10,0.0,False,,
6440125412484313728,288.11635495835293,-60.74066375907622,0.4377942640620965,0.5170985,1.1425233134643913,0.45085213,0.764520974706289,0.42868263,20.129652,20.333525,19.6167,0.7168255,0.9564652,0.0,gmm2,46.9198714342442,0.01,0.0072376990636859,0.0,False,,
6440125717427344768,287.809554098193,-60.84698788785448,-0.7008349542056627,0.41588673,-0.460243160154981,0.39676467,-5.839619406166583,0.3741167,19.837635,20.202757,19.232616,0.97014046,0.97123224,0.0,gmm2,51.81762708764113,0.01,0.5268657971908758,0.0,False,,
6440125889226363904,287.7828054140327,-60.8479048058393,0.7373496974363752,0.293328,-2.99186200536799,0.27845645,3.0401602792153715,0.245261,19.260338,20.448837,18.209045,2.2397919,1.0350089,0.0,gmm2,51.83581556786896,0.01,2.9938084085329378e-56,0.0,False,,
6440126061024734464,287.8618448558894,-60.84345744062293,0.3702705971579431,0.15683016,-3.624035990171683,0.14217871,-1.3129239583055845,0.13702539,18.487537,18.945915,17.919798,1.0261173,0.97564447,0.0,gmm2,51.7142484921666,0.01,0.0009641973429756,0.0,False,,
6440126438981918080,287.8697685121015,-60.79999568675797,0.1976538837787304,0.60723144,1.4963531264509895,0.5152146,-6.526272564291925,0.6202589,20.088423,20.554472,19.690424,0.864048,1.0364136,0.0,gmm2,49.13785602725065,0.01,0.1168342319346238,0.0,False,,
6440126473341678336,287.9253504686234,-60.78374898382544,0.1277667829593523,0.44607934,-0.913186723784555,0.4243262,-9.225719624676262,0.3757204,19.936934,20.249773,19.509775,0.73999786,1.0002275,0.0,gmm2,48.3546123253787,0.01,0.005711758402613,0.0,False,,
